0815-10,Hero,EN,JA,,
fables_snow_white,Snow White,"・Deals 180% damage to all enemies.
[*]Deals additional +180% damage per removed status effect, up to +180% damage in total.","・敵全員に180%のダメージを与える
[*]さらに、解除したステータス効果の数に応じて+180%ずつ最大+180%のダメージが追加される。",,
wonderland_jabberwocky,Jabberwock,"・Deals 300% damage to the enemies on the edges of the enemy formation. If there is only one enemy, the damage is doubled.
・The enemies on the edges of the enemy formation receive 297 Poison damage over 3 turns.","・敵陣形の両端にいる敵に300%のダメージを与える。敵が1体しかいない場合は与えるダメージが2倍になる。
・敵陣形の両端にいる敵に297の毒ダメージを与える(3ターン)。",,
wonderland_white_rabbit,White Rabbit,"・Deals 280% damage to the target and nearby enemies.
・The target gets -34% defense for 4 turns. This effect can't be cleansed.","・ターゲットと近くにいる敵に280%のダメージを与える。
・4ターンの間、ターゲットの防御力が-34%になる。この効果は浄化できない。",,
pirate_vodnik,Vodnik,"・Deals 280% damage to the target.
・The more mana the enemies have, the more damage they will receive, up to +120%.","・ターゲットに280%のダメージを与える。
・敵が所有するマナが多いほど、与えるダメージが増加する。最大で+120%になる。",,
wonderland_bear,Shrubbear,"・The caster gets Taunt that prevents enemies from using Special Skills on the caster's allies for 4 turns.
・The caster gets 63% defense for 4 turns. This effect can't be dispelled.
・[#!]Enhanced Defense Ailment[#]: The target gets 74% defense against Special Skills. This effect lasts until the target takes damage from a Special Skill once.
[*] After the [#!]Enhanced Defense Ailment[#] ends or is removed or replaced, dispels all status effect buffs on the target.","・4ターンの間、術者が挑発のステータス効果を発動し、敵が術者の仲間に特殊スキルを使用できなくなる。
・術者が防御力63%を得る(4ターン)。この効果は解除不可
・[#!]強化防御異常[#]：特殊スキルに対するターゲットの防御力が74%になる。この効果は、ターゲットが特殊スキルにより1回ダメージを受けるまで継続する。
[*][#!]強化防御異常[#]が終了するか、解除されるか、置き換えられると、そのターゲットの全ステータス効果バフも解除される。",,
guardian_bat,Guardian Bat,"・Deals 270% damage to the target and minor damage to nearby enemies.
・The damage is increased by +50% per each defeated ally.","・ターゲットに270%ダメージ、近くにいる敵に小ダメージを与える。
・倒れた仲間1人につき攻撃力が+50%増加する。",,
knights_bauchan,Bauchan,"・Deals 105% damage to all enemies.
・Reduces the mana of all enemies by -20%.
・All allies get 24% mana generation for 4 turns.","・敵全員に105%のダメージを与える。
・敵全員のマナが-20%減少する。
・4ターンの間、仲間全員のマナ生成が24%になる。",,
fables_pixie,Pixie,"・Deals 290% damage to the target.
・Automatically does 213 damage to the target and consumes 50% mana from the target when the target's mana gets full for 3 turns.","・ターゲットに290%のダメージを与える。
・3ターンの間、ターゲットのマナが満タンになると、自動的にターゲットに213ダメージを与える。さらに、ターゲットのマナを50%消費する。",,
holy_god_neith,Neith,"・Deals 200% damage to all enemies.
・Reduces the mana of all enemies by -20%.
・All enemies get -121% accuracy for 4 turns.
・[#f2e33a]Element Link[#] gives 104% mana generation for all [#f2e33a]Holy[#] allies for 4 turns. This effect can't be dispelled.","・敵全員に200%のダメージを与える。
・敵全員のマナが-20%減少する。
・4ターンの間、敵全員の命中率が-121%になる。
・4ターンの間、[#f2e33a]属性リンク[#]によって、[#f2e33a]聖属性[#]の仲間全員のマナ生成が104%増加する。この効果は解除できない。",,
dark_god_grimble,Grimble,"・Deals 315% damage to all enemies.
・Destroys all Fiends from all allies.
・All allies get +80% mana for each destroyed Fiend.
・[#e290ff]Element Link[#] gives all [#e290ff]Dark[#] allies -90% critical chance for 6 turns. This effect can't be dispelled.","・敵全員に315%のダメージを与える。
・仲間全員のフィエンドをすべて撃破する。
・フィエンドが倒される毎に、仲間全員のマナが+80%回復する。
・6ターンの間、[#e290ff]属性リンク[#]によって、[#e290ff]闇属性[#]の仲間全員のクリティカル攻撃を与える確率が、-90%になる。この効果は解除できない。",,
ice_god_vela,Vela,"・Deals 230% damage to all enemies.
・All enemies receive 318 Water damage over 3 turns.
・All enemies get -34% attack for 3 turns. This effect can't be cleansed.
・[#41d8fe]Element Link[#] gives all [#41d8fe]Ice[#] allies -90% critical chance for 6 turns. This effect can't be dispelled.","・敵全員に230%のダメージを与える。
・3ターンの間、敵全員に318の水ダメージを与える。
・3ターンの間、敵全員の攻撃力が-34%になる。この効果は浄化不可。
・6ターンの間、[#41d8fe]属性リンク[#]によって、[#41d8fe]氷属性[#]の仲間全員のクリティカル攻撃を与える確率が、-90%になる。この効果は解除できない。",,
fire_god_jean_francois,Jean-François,"・All enemies receive 630 Burn damage over 3 turns.
・All allies get 94% defense against [#41d8fe]Ice[#] for 4 turns.
・All allies get Defense Status Ailment Protection for 5 turns. New status ailments affecting defense will be replaced by {DEFENSE}% defense for {REPLACINGEFFECTTURNS} turns.
・[#ff9f81]Element Link[#] gives all [#ff9f81]Fire[#] allies -90% critical chance for 6 turns. This effect can't be dispelled.","・3ターンの間、敵全員に630の燃焼ダメージを与える。
・4ターンの間、仲間全員の[#41d8fe]氷属性[#]に対する防御力が94%になる。
・5ターンの間、仲間全員が防御力ステータス異常耐性を得る。{REPLACINGEFFECTTURNS}ターンの間、防御力に影響する新たなステータス異常を受けると、防御力が{DEFENSE}%になる。
・6ターンの間、[#ff9f81]属性リンク[#]によって、[#ff9f81]炎属性[#]の仲間全員のクリティカル攻撃を与える確率が、-90%になる。この効果は解除できない。",,
s3_heimdall,Heimdall,"・Boosts health of all allies by 500. Boosted health can exceed max HP.
・Each defeated ally has a +20% chance to get revived with +30% HP.
・All allies get 30% attack for 4 turns. This effect can't be dispelled.","・仲間全員のHPを500回復する。ライフ値が最大HPを超えた場合は、一時的に最大HP値が増加する。
・+20%の確率で、倒れた仲間が最大HPの+30%を有した状態で復活する。
・4ターンの間、仲間全員の攻撃力が30%になる。この効果は解除できない。",,
s3_ratatoskr,Ratatoskr,"・Recovers 44% health for all allies.
・Alters the power of all [##elementblue]Ice[#] shields on the board. When an attacking Hero casts the special, the shields become enhanced and give +44% more mana. When a defending Hero casts the special, the shields become weakened and give +44% less mana.","・仲間全員のライフを44%回復する。
・ボード上にあるすべての[##elementblue]氷属性[#]の盾を変容する。攻撃側の英雄が特殊スキルを使用すると、盾が強化され、マナが+44%になる。防衛側の英雄が特殊スキルを使用すると、盾が弱体化され、マナが+44%になる。",,
s3_jott,Jott,"・Deals 200% damage to all enemies.
・Alters the power of all [##elementblue]Ice[#] shields on the board. When an attacking Hero casts the special, the shields become enhanced and give +200% more mana. When a defending Hero casts the special, the shields become weakened and give +200% less mana.","・敵全員に200%のダメージを与える。
・ボード上にあるすべての[##elementblue]氷属性[#]の盾を変容する。攻撃側の英雄が特殊スキルを使用すると、盾が強化され、マナが+200%になる。防衛側の英雄が特殊スキルを使用すると、盾が弱体化され、マナが+200%になる。",,
s3_sudri,Sudri,"・Deals 120% damage to all enemies.
[*]Deals additional +120% damage per each [#ff9f81]Fire[#] shield on the board, up to +120% damage in total.","・敵全員に120%のダメージを与える。
[*]さらに、ダメージの合計が+120%になるまで、ボード上に[#ff9f81]炎属性[#]の盾が出現する度に+120%の追加ダメージを与える。",,
forest_god_telluria,Telluria,"・Deals 160% damage to all enemies.
・All allies regenerate 160 HP over 2 turns.
・All enemies get -24% mana generation for 2 turns.
・[#70e92f]Element Link[#] gives all [#70e92f]Nature[#] allies -90% critical chance for 6 turns. This effect can't be dispelled.","・敵全員に160%のダメージを与える。
・2ターンに渡って、仲間全員のHPが160回復する。
・2ターンの間、敵全員のマナ生成が-24%になる。
・6ターンの間、[#70e92f]属性リンク[#]によって、[#70e92f]自然属性[#]の仲間全員のクリティカル攻撃を与える確率が、-90%になる。この効果は解除できない。",,
s3_grevle,Grevle,"・Boosts health of all allies by 250. Boosted health can exceed max HP.
・All allies get 30% attack for 4 turns. This effect can't be dispelled.","・仲間全員のHPを250回復する。ライフ値が最大HPを超えた場合は、一時的に最大HP値が増加する。
・4ターンの間、仲間全員の攻撃力が30%になる。この効果は解除できない。",,
s3_baldur,Baldur,"・Deals 165% damage to a random enemy.
・Boosts health of the caster by 1000. Boosted health can exceed max HP.
・All allies resist mana reduction for as long as the caster has boosted health. This effect can't be dispelled.
・Deals 165% damage to a random enemy at the end of each turn for as long as the caster has boosted health. This effect can't be dispelled.","・ランダムな敵1体に165%のダメージを与える。
・術者のライフを1000回復する。ライフ値が最大HPを超えた場合は、一時的に最大HP値が増加する。
・術者のライフが回復している間、仲間全員がマナ奪取に対して耐性を持つ。この効果は解除できない。
・術者のHPが回復している間、ランダムな敵1体に毎ターン終了時に165%のダメージを与える。この効果は解除できない。",,
s3_nordri,Nordri,"・Deals 245% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies get -54% defense against [#41d8fe]Ice[#] for 4 turns.","・ターゲットに245%ダメージ、近くにいる敵に小ダメージを与える。
・4ターンの間、ターゲットと近くにいる敵の[#41d8fe]氷属性[#]に対する防御力が-54%になる。",,
s3_tyr,Tyr,"・Deals 285% damage to the target.
・The attack has a +60% chance to bypass defensive buffs.
・This includes counterattacks.
・The target receives 272 Bleed damage over 4 turns.
・The caster regenerates 285 HP over 4 turns.
・If the caster is defeated during the next 4 turns, they are resurrected in the beginning of their next turn with 32% health. All status effects and stacks are removed when the caster is defeated.","・ターゲットに285%のダメージを与える。
・攻撃時に+60%の確率で、敵の防御バフを無効化する。
・対象には「反撃」も含まれる。
・4ターンの間、ターゲットに272の出血ダメージを与える。
・4ターンの間、術者のHPが285回復する。
・4ターン以内に術者が倒れた場合、次のターン開始時に、32%のライフを保有した状態で復活する。すべてのステータス効果と累積効果は、術者が倒れた時に解除される。",,
s3_sif,Sif,"・The caster and nearby allies counterattack with 65% of the damage received for 4 turns.
・The caster and nearby allies reduce all received damage by -50% for 4 turns.
・The caster and nearby allies get 24% mana generation for 4 turns. This effect can't be dispelled.","・4ターンの間、術者と近くにいる仲間が受けたダメージの65%で反撃する。
・4ターンの間、術者と近くにいる仲間の受けるダメージが-50%になる。
・4ターンの間、術者と近くにいる仲間のマナ生成が24%になる。この効果は解除できない。",,
s3_mireweave,Mireweave,"・Deals 150% damage to the target and nearby enemies.
・[#!]Stack (Max: 10):[#] The caster gets 10% attack.","・ターゲットと近くにいる敵に150%のダメージを与える。
・[#!]累積効果(最大：10):[#]術者の攻撃力が10%になる。",,
s3_jarvur,Jarvur,"・Deals 285% damage to the target.
・[#!]Stack (Max: 10):[#] The caster gets 10% attack.","・ターゲットに285%のダメージを与える。
・[#!]累積効果(最大：10):[#]術者の攻撃力が10%になる。",,
s3_mist,Mist,"・Deals 175% damage to the target and nearby enemies.
・The target and nearby enemies are immune to new status effect buffs for 3 turns.
・The target and nearby enemies get -34% defense against Special Skills for 3 turns.
・The target and nearby enemies get -64% mana generation for 3 turns.","・ターゲットと近くにいる敵に175%のダメージを与える。
・3ターンの間、ターゲットと近くにいる敵に新しく追加されるステータス効果を付与するバフを無効化する。
・3ターンの間、ターゲットと近くにいる敵の特殊スキルに対する防御力が-34%になる。
・3ターンの間、ターゲットと近くにいる敵のマナ生成が-64%になる。",,
s3_brynhild,Brynhild,"・Recovers 37% health for the caster and nearby allies.
・The caster and nearby allies are immune to buff dispels and reallocations for 3 turns.
・[#!]Enhanced Defense Ailment[#]: The target and nearby enemies get 74% defense against Special Skills. This effect lasts until the enemy takes damage from a Special Skill 74 times.
[*] After the [#!]Enhanced Defense Ailment[#] ends or is removed or replaced, dispels buffs on the enemy.
・The caster and nearby allies get 24% mana generation for 3 turns. This effect can't be dispelled.","・術者と近くにいる仲間のライフを37%回復する。
・3ターンの間、術者と近くにいる仲間がバフ解除および再割り当てに耐性を持つ。
・[#!]強化防御異常[#]：特殊スキルに対するターゲットと近くの敵の防御力が74%になる。この効果は、その敵が特殊スキルにより74回ダメージを受けるまで継続する。
[*][#!]強化防御異常[#]が終了するか、解除されるか、置き換えられると、その敵のバフも解除される。
・3ターンの間、術者と近くにいる仲間のマナ生成が24%になる。この効果は解除できない。",,
s3_shadereave,Shadereave,"・All allies get 30% attack for 4 turns. This effect can't be dispelled.
・All allies get -84% critical chance for 4 turns.
・If any ally is defeated during the next 4 turns, they are resurrected in the beginning of their next turn with 100% health. All status effects and stacks are removed when the ally is defeated.","・4ターンの間、仲間全員の攻撃力が30%になる。この効果は解除できない。
・4ターンの間、仲間全員のクリティカル攻撃を与える確率が-84%になる。
・4ターン以内に仲間が倒れた場合、次のターン開始時に、100%のライフを保有した状態で復活する。すべてのステータス効果と累積は、仲間が倒れた時に解除される。",,
s3_freya,Freya,・All allies get 30% defense for 4 turns.,・4ターンの間、仲間全員の防御力が30%になる。,,
s3_ei_dunn,Ei-Dunn,"・Deals 240% damage to the target and nearby enemies.
・The target and nearby enemies get -24% mana generation for 4 turns.","・ターゲットと近くにいる敵に240%のダメージを与える。
・4ターンの間、ターゲットと近くにいる敵のマナ生成が-24%になる。",,
s3_agnes,Agnes,"・Deals 320% damage to the target.
・The attack has a +60% chance to bypass defensive buffs.
・This includes counterattacks.","・ターゲットに320%のダメージを与える。
・攻撃時に+60%の確率で、敵の防御バフを無効化する。
・対象には「反撃」も含まれる。",,
s3_gullinbursti,Gullinbursti,"・Boosts health of all allies by 400. Boosted health can exceed max HP.
・The caster gets 145% attack, and a further 145% increase every time they or any of their allies are hit during 3 turns, up to 145% attack. When the effect ends, all enemies receive 906 damage. Each hit on the caster or their allies during the duration increases the damage by 145 to a maximum of 145 damage.","・仲間全員のHPを400回復する。ライフ値が最大HPを超えた場合は、一時的に最大HP値が増加する。
・術者の攻撃力が145%になる。3ターンの間、術者または仲間が攻撃を受けるたびに、術者の攻撃力はさらに145%ずつ増加する（最大145%まで）。この効果終了時に、敵全員が906ダメージを受ける。この効果が有効な間は、術者または仲間が攻撃されるたびに、敵に与えるダメージが145を上限に145ずつ増加する。",,
s3_anwindr,An-Windr,"・The caster gets 145% attack, and a further 145% increase every time they or any of their allies are hit during 3 turns, up to 145% attack. When the effect ends, all enemies receive 614 damage. Each hit on the caster or their allies during the duration increases the damage by 145 to a maximum of 145 damage.",・術者の攻撃力が145%になる。3ターンの間、術者または仲間が攻撃を受けるたびに、術者の攻撃力はさらに145%ずつ増加する（最大145%まで）。この効果終了時に、敵全員が614ダメージを受ける。この効果が有効な間は、術者または仲間が攻撃されるたびに、敵に与えるダメージが145を上限に145ずつ増加する。,,
s3_fura,Fura,"・Deals 150% damage to all enemies.
・Reduces max health of all enemies by +150. The effect is stronger against targets with boosted health.
・Max health can't get lower than +150% of the original max health.
[*] Any boosted health is reduced by an additional +150.
・All enemies get 50% increase for any healing received for 4 turns.","・敵全員に150%のダメージを与える。
・敵全員の最大HPを+150減少させる。この効果はHPをブーストされたターゲットにも有効となる。
・最大ライフは元の最大値の+150%以下にはできない。
[*]HPがブーストされた場合は、さらに+150減少する。
・4ターンの間、敵全員の回復量が50%になる。",,
s3_almur,Almur,"・Deals 150% damage to the target and nearby enemies.
・Reduces max health of the target and nearby enemies by +150. The effect is stronger against targets with boosted health.
・Max health can't get lower than +150% of the original max health.
[*] Any boosted health is reduced by an additional +150.
・The target and nearby enemies get -54% defense against [#70e92f]Nature[#] for 4 turns.","・ターゲットと近くにいる敵に150%のダメージを与える。
・ターゲットと近くにいる敵の最大HPを+150減少させる。この効果はHPをブーストされたターゲットにも有効となる。
・最大ライフは元の最大値の+150%以下にはできない。
[*]HPがブーストされた場合は、さらに+150減少する。
・4ターンの間、ターゲットと近くにいる敵の[#70e92f]自然属性[#]に対する防御力が-54%になる。",,
s3_bjorn,Bjorn,"・Deals 200% damage to +200 other random enemies.
・This effect targets the same enemy as the first hit if there are no other valid targets.","・他のランダムな敵+200体に200%のダメージを与える。
・有効な他のターゲットがいない場合、最初の攻撃を受けた敵をもう一度攻撃する。",,
s3_kvasir,Kvasir,,,,
s3_stonecleave,Stonecleave,"・Casts [#!]Full Removal[#] on the caster.
・[#!]Full Removal[#] removes all status effects, stacks and [#!]Growth[#] and [#!]Wither[#] effects. Removes even status effects and stacks that are otherwise undispellable or uncleansable.
・The caster shifts into Dire Ghost form for 4 turns.
[*] While in Dire Ghost form the caster automatically deals 175% damage against a random enemy each turn.
[*] While in Dire Ghost form the caster can take damage from enemies whose element is strong against the caster.","・[#!]完全解除[#]を術者にかける。
・[#!]完全解除[#]はターゲットのすべてのステータス効果や累積効果、[#!]成長[#]と[#!]弱化[#]効果を解除する。これには、解除・浄化不可のステータス効果および累積効果も含まれる。
・4ターンの間、術者と近くにいる仲間が錯乱のダイアーゴースト形態になる。
[*]錯乱のダイアーゴースト形態でいる間、術者はターン毎にランダムな敵1体に175%のダメージを与える。
[*]錯乱のダイアーゴースト形態でいる間、術者は自分より優位な属性の敵からダメージを受ける。",,
s3_sumle,Sumle,"・Deals 235% damage to all enemies.
・The damage is increased by -20% per each defeated ally.","・敵全員に235%のダメージを与える。
・倒れた仲間1人につき攻撃力が-20%増加する。",,
s3_by_ulf,By-Ulf,"・The caster and nearby allies get 48% attack for 4 turns.
・The caster and nearby allies get 46% defense for 4 turns.
・The caster and nearby allies regenerate 32 HP over 4 turns.
・After 4 turn the target gets [#!]Paralyzed[#] for {STATUSEFFECT1TURNS} turns.","・4ターンの間、術者と近くにいる仲間の攻撃力が48%になる。
・4ターンの間、術者と近くにいる仲間の防御力が46%になる。
・4ターンの間、術者と近くにいる仲間のHPが32回復する。
・4ターン後に、ターゲットが{STATUSEFFECT1TURNS}ターンの間[#!]マヒ状態[#]になる。",,
s3_alfrike,Alfrike,"・Casts +200 Dark Cubes to random enemies.
[*]Dark Cube reduces max health of the target by +200. The effect is stronger against targets with boosted health.
・Max health can't get lower than +200% of the original max health.
[*] Any boosted health is reduced by an additional +200.
・All enemies automatically cast [#!]Mindless Attack[#] on a random ally when mana is full at the start of a turn during 3 turns.","・ランダムな敵数体に向けて、+200個のダークキューブを放つ。
[*]ダークキューブは、ターゲットの最大HPを+200減少させる。HPをブーストされたターゲットにより効果がある。
・最大ライフは元の最大値の+200%以下にはできない。
[*]HPがブーストされた場合は、さらに+200減少する。
・3ターンの間、マナが満タンの場合に限り、ターン開始時に敵全員が自動的に[#!]マインドレスアタック[#]をランダムな仲間に放つ。",,
s3_norns,Norns,"・Deals 280% damage to the target and nearby enemies.
・The target and nearby enemies become weak against the element they are strong against for 5 turns. They stay weak against the element they are normally weak against.","・ターゲットと近くにいる敵に280%のダメージを与える。
・5ターンの間、ターゲットと近くにいる敵が、通常は優勢の属性に対して弱体化する。通常時に劣勢の属性に対しては、弱いままである。",,
s3_fenrir,Fenrir,"・Deals 320% damage to the target.
・Deals +50% damage to enemies with more than +50% health remaining.
・The caster gains a moderate amount of mana for each enemy defeated and a small amount of mana for each enemy Minion destroyed.","・ターゲットに320%のダメージを与える。
・敵の残りのライフが+50%以上の場合、+50%のダメージを与える。
・敵を倒すたびに、術者が中程度のマナを獲得する。敵のミニオンを倒した場合は、少量のマナを獲得する。",,
holy_god_malosi,Malosi,"・Deals 400% damage to the target.
・The target cannot cast any new status effects on enemies or allies for 3 turns.
・[#f2e33a]Element Link[#] gives all [#f2e33a]Holy[#] allies -90% critical chance for 6 turns. This effect can't be dispelled.","・ターゲットに400%のダメージを与える。
・3ターンの間、ターゲットが仲間や敵に対して新たなステータス効果を付与できなくする。
・6ターンの間、[#f2e33a]属性リンク[#]によって、[#f2e33a]聖属性[#]の仲間全員のクリティカル攻撃を与える確率が、-90%になる。この効果は解除できない。",,
dark_god_clarissa,Clarissa,"・Deals 175% damage to the target and nearby enemies.
・The target and nearby enemies receive 344 Poison damage over 2 turns.
・[#e290ff]Element Link[#] gives all [#e290ff]Dark[#] allies 130% defense against Special Skills for 4 turns. This effect can't be dispelled.","・ターゲットと近くにいる敵に175%のダメージを与える。
・2ターンの間、ターゲットと近くにいる敵に344の毒ダメージを与える。
・[#e290ff]属性リンク[#]によって、[#e290ff]闇属性[#]の仲間全員の特殊スキルに対する防御力が130%増加する(4ターン)。この効果は解除不可",,
ice_god_raffaele,Raffaele,"・Heals all allies who have less than +50% HP left to +50% health.
・All allies regenerate 32 HP over 4 turns.
・[#41d8fe]Element Link[#] gives all [#41d8fe]Ice[#] allies 130% defense against Special Skills for 4 turns. This effect can't be dispelled.","・残りのHPが+50%以下の仲間全員のライフを、+50%まで回復させる。
・4ターンに渡って、仲間全員のHPが32回復する。
・[#41d8fe]属性リンク[#]によって、[#41d8fe]氷属性[#]の仲間全員の特殊スキルに対する防御力が130%増加する(4ターン)。この効果は解除不可",,
s3_skadi,Skadi,"・Deals 220% damage to all enemies.
・The damage is increased by +50% per each defeated ally.
・The caster recovers 0% health for each enemy defeated and 0% health for each enemy Minion destroyed.
・[#!]Stack (Max: 10):[#] All enemies receive 39 Frost damage at the end of each turn.
・[#!]Stack (Max: 10):[#] All enemies get -6% mana generation","・敵全員に220%のダメージを与える。
・倒れた仲間1人につき攻撃力が+50%増加する。
・術者が敵を倒すたびにHPを0%、敵のミニオンを倒すたびにHPを0%回復する。
・[#!]累積効果（最大：10）：[#]毎ターンの最後に、敵全員に39のフロストダメージを与える。
・[#!]累積効果(最大：10)：[#]敵全員のマナ生成が-6%になる。",,
easter_chick_jr,Chick Jr.,"・Deals 180% damage to all enemies.
・The caster gets -20% attack for 3 turns. This effect can't be cleansed.","・敵全員に180%のダメージを与える。
・3ターンの間、術者の攻撃力が-20%になる。この効果は浄化できない。",,
easter_lady_woolerton,Lady Woolerton,"・Recovers 40% health for all allies.
・The caster can't gain mana for 2 turns.","・仲間全員のライフを40%回復する。
・術者がマナを生成できなくなる(2ターン)",,
easter_sir_roostley,Sir Roostley,"・The attack chains through all the enemies who are adjacent to any hit enemy.
・The caster gets -20% attack for 3 turns. This effect can't be cleansed.","・この攻撃は、攻撃した敵のすぐ隣にいる敵全員に連鎖する。
・3ターンの間、術者の攻撃力が-20%になる。この効果は浄化できない。",,
easter_killhare,Killhare,"・Deals 300% damage to all enemies.
・All allies except the caster get -20% defense for 3 turns. This effect can't be cleansed.","・敵全員に300%のダメージを与える。
・3ターンの間、術者以外の仲間全員の防御力が-20%になる。この効果は浄化できない。",,
hidden_dark_god_myztero,Myztero,・Deals 175% damage to all enemies.,・敵全員に175%のダメージを与える。,,
s3_gefjon,Gefjon,"・Deals 500% damage to the target.
・Steals Minions from the target.","・ターゲットに500%のダメージを与える。
・ターゲットからミニオンを盗む。",,
s3_frigg,Frigg,"・Deals 100% damage to all enemies.
[*]Deals additional +100% damage per each [#ff9f81]Fire[#] shield on the board, up to +100% damage in total.
・All enemies get -103% defense, and a further -103% decrease per each [##elementblue]Ice[#] shield on the board for 3 turns, up to -103% defense.","・敵全員に100%のダメージを与える。
[*]さらに、ダメージの合計が+100%になるまで、ボード上に[#ff9f81]炎属性[#]の盾が出現する度に+100%の追加ダメージを与える。
・3ターンの間、敵全員の防御力が-103%になる。さらに、ボード上の[##elementblue]氷属性[#]の盾の数に応じて-103%減少する。最大で-103%まで減少する。",,
s3_odin,Odin,"・Deals 100% damage to all enemies.
[*]Deals additional +100% damage per each [#ff9f81]Fire[#] shield on the board, up to +100% damage in total.
・All allies get -98% mana generation, and a further -98% increase per each [#f2e33a]Holy[#] shield on the board for 3 turns, up to -98% mana generation.","・敵全員に100%のダメージを与える。
[*]さらに、ダメージの合計が+100%になるまで、ボード上に[#ff9f81]炎属性[#]の盾が出現する度に+100%の追加ダメージを与える。
・仲間全員のマナ生成が-98%になる。さらに、3ターンの間、マナ生成の合計が-98%になるまで、ボード上に[#f2e33a]聖属性[#]の盾が出現する度に-98%追加される。",,
s3_loki_fish,Salmon Loki,"・Deals 250% damage to all [##elementyellow]Holy[#] enemies.
・For 3 turns, the element of all enemies is changed each turn. On the first 71 turns, the element is random.
[*]On the last turn, enemies revert to their original element.
[*]After each element change, enemies take 71 damage if their element is [##elementyellow]Holy[#].","・全ての[##elementyellow]聖属性[#]の敵に250%のダメージを与える。
・3ターンの間、ターン毎に敵全員の属性を変更する。最初の71ターンの間、属性はランダムに変更される。
[*]最終ターンになると、敵の属性は元の属性に戻る。
[*]ターン毎の属性変更の後、[##elementyellow]聖属性[#]の敵は、71ダメージを受ける。",,
sand_roc,Roc,"・All enemies receive 384 Sand damage over 3 turns.
・All enemies get 50% increase for any healing received for 2 turns.","・3ターンの間、敵全員に384の砂ダメージを与える。
・2ターンの間、敵全員の回復量が50%になる。",,
s3_loki_female,Lady Loki,・All allies gain a small amount of mana for each transferred status ailment.,・ステータス異常が移行されるたびに、仲間全員のマナが少量回復する。,,
s3_thor,Thor,・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_rotating_special_TYPE_rotatingspecial,・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_rotating_special_TYPE_rotatingspecial,,
holy_god_bai_yeong,Bai Yeong,"・Deals 390% damage to the target.
・The target gets -175% accuracy for 2 turns.
・The target gets 25% increase for any healing received for 2 turns. This effect can't be dispelled.
・[#f2e33a]Element Link[#] gives all [#f2e33a]Holy[#] allies 130% defense against Special Skills for 4 turns. This effect can't be dispelled.","・ターゲットに390%のダメージを与える。
・2ターンの間、ターゲットの命中率が-175%になる。
・2ターンの間、ターゲットの回復量が25%になる。この効果は解除できない。
・[#f2e33a]属性リンク[#]によって、[#f2e33a]聖属性[#]の仲間全員の特殊スキルに対する防御力が130%増加する(4ターン)。この効果は解除不可",,
forest_god_zocc,Zocc,"・Deals 320% damage to the target.
・Increases the mana of the target by +50%.
・The target automatically casts [#!]Mindless Attack[#] on a random ally when mana is full at the start of a turn during 3 turns. This effect can't be cleansed.
・[#70e92f]Element Link[#] gives all [#70e92f]Nature[#] allies 130% defense against Special Skills for 4 turns. This effect can't be dispelled.","・ターゲットに320%のダメージを与える。
・ターゲットのマナが+50%増加する。
・3ターンの間、マナが満タンの場合に限り、ターン開始時にターゲットが自動的に[#!]マインドレスアタック[#]をランダムな仲間に放つ。この効果は浄化できない。
・[#70e92f]属性リンク[#]によって、[#70e92f]自然属性[#]の仲間全員の特殊スキルに対する防御力が130%増加する(4ターン)。この効果は解除不可",,
fire_god_noor,Noor,"・Recovers 15% health for all allies.
・[#ff9f81]Element Link[#] gives all [#ff9f81]Fire[#] allies 130% defense against Special Skills for 4 turns. This effect can't be dispelled.","・仲間全員のライフを15%回復する。
・[#ff9f81]属性リンク[#]によって、[#ff9f81]炎属性[#]の仲間全員の特殊スキルに対する防御力が130%増加する(4ターン)。この効果は解除不可",,
s3_bera,Bera,,,,
dark_god_zulag,Zulag,"・The caster and nearby allies regenerate 32 HP over 4 turns.
・The caster and nearby allies get 46% defense for 4 turns.
・[#!]Enhanced Defense Ailment[#]: The target and nearby enemies get 74% defense against Special Skills. This effect lasts until the enemy takes damage from a Special Skill 74 times.
[*] After the [#!]Enhanced Defense Ailment[#] ends or is removed or replaced, dispels buffs on the enemy.","・4ターンの間、術者と近くにいる仲間のHPが32回復する。
・4ターンの間、術者と近くにいる仲間の防御力が46%になる。
・[#!]強化防御異常[#]：特殊スキルに対するターゲットと近くの敵の防御力が74%になる。この効果は、その敵が特殊スキルにより74回ダメージを受けるまで継続する。
[*][#!]強化防御異常[#]が終了するか、解除されるか、置き換えられると、その敵のバフも解除される。",,
ice_god_glenda,Glenda,"・Deals 300% damage to the target and nearby enemies.
・The caster and nearby allies' Special Skills deal an additional -60% damage for 4 turns.","・ターゲットと近くにいる敵に300%のダメージを与える。
・4ターンの間、術者と近くにいる仲間の特殊スキルによる攻撃力が-60%になる。",,
fire_god_reuben,Reuben,"・Deals 310% damage to the target and nearby enemies.
・All allies get -75% reduction to damage received from status ailments for 4 turns.","・ターゲットと近くにいる敵に310%のダメージを与える。
・仲間全員がステータス異常によって受けるダメージを-75%減らす(4ターン)",,
